"module name","licenses","repository","licenseUrl","parents"
"figgy-pudding@3.5.1","ISC","https://github.com/zkat/figgy-pudding","https://github.com/zkat/figgy-pudding/raw/master/LICENSE.md","fire-uach"
"figures@1.7.0","MIT","https://github.com/sindresorhus/figures","https://github.com/sindresorhus/figures/raw/master/license","fire-uach"
"file-loader@4.2.0","MIT","https://github.com/webpack-contrib/file-loader","https://github.com/webpack-contrib/file-loader/raw/master/LICENSE","fire-uach"
"file-saver@2.0.2","MIT","https://github.com/eligrey/FileSaver.js","https://github.com/eligrey/FileSaver.js/raw/master/LICENSE.md","fire-uach"
"file-selector@0.1.12","MIT","","https://github.com/react-dropzone/file-selector","fire-uach"
"file-type@12.4.2","MIT","https://github.com/sindresorhus/file-type","https://github.com/sindresorhus/file-type/raw/master/license","imagemin:fire-uach"
"file-type@3.9.0","MIT","https://github.com/sindresorhus/file-type","https://github.com/sindresorhus/file-type/raw/master/license","decompress-unzip:fire-uach"
"file-type@4.4.0","MIT","https://github.com/sindresorhus/file-type","https://github.com/sindresorhus/file-type/raw/master/license","archive-type:fire-uach"
"file-type@5.2.0","MIT","https://github.com/sindresorhus/file-type","https://github.com/sindresorhus/file-type/raw/master/license","fire-uach"
"file-type@6.2.0","MIT","https://github.com/sindresorhus/file-type","https://github.com/sindresorhus/file-type/raw/master/license","decompress-tarbz2:fire-uach"
"file-type@8.1.0","MIT","https://github.com/sindresorhus/file-type","https://github.com/sindresorhus/file-type/raw/master/license","bin-wrapper:fire-uach"
"file-uri-to-path@1.0.0","MIT","https://github.com/TooTallNate/file-uri-to-path","https://github.com/TooTallNate/file-uri-to-path/raw/master/LICENSE","fire-uach"
"filename-reserved-regex@2.0.0","MIT","https://github.com/sindresorhus/filename-reserved-regex","https://github.com/sindresorhus/filename-reserved-regex/raw/master/license","fire-uach"
"filenamify@2.1.0","MIT","https://github.com/sindresorhus/filenamify","https://github.com/sindresorhus/filenamify/raw/master/license","fire-uach"
"fill-range@4.0.0","MIT","https://github.com/jonschlinkert/fill-range","https://github.com/jonschlinkert/fill-range/raw/master/LICENSE","fire-uach"
"fill-range@7.0.1","MIT","https://github.com/jonschlinkert/fill-range","https://github.com/jonschlinkert/fill-range/raw/master/LICENSE","http-proxy-middleware:fire-uach"
"finalhandler@1.1.2","MIT","https://github.com/pillarjs/finalhandler","https://github.com/pillarjs/finalhandler/raw/master/LICENSE","fire-uach"
"find-cache-dir@1.0.0","MIT","https://github.com/avajs/find-cache-dir","https://github.com/avajs/find-cache-dir/raw/master/license","autodll-webpack-plugin:fire-uach"
"find-cache-dir@2.1.0","MIT","https://github.com/avajs/find-cache-dir","https://github.com/avajs/find-cache-dir/raw/master/license","fire-uach"
"find-cache-dir@3.2.0","MIT","https://github.com/avajs/find-cache-dir","https://github.com/avajs/find-cache-dir/raw/master/license","cache-loader:fire-uach"
"find-root@1.1.0","MIT","https://github.com/js-n/find-root","https://github.com/js-n/find-root/raw/master/LICENSE.md","fire-uach"
"find-up@1.1.2","MIT","https://github.com/sindresorhus/find-up","https://github.com/sindresorhus/find-up/raw/master/license","read-pkg-up:fire-uach"
"find-up@2.1.0","MIT","https://github.com/sindresorhus/find-up","https://github.com/sindresorhus/find-up/raw/master/license","autodll-webpack-plugin:fire-uach"
